county,employed,out_of_work,total,dis_er,ndis_er,gap,prevalence,sh,no_qual,4p_hc,mh,no_partner,cluster_gp
Shropshire UA,14500,13200,27700,52.5,84.2,31.8,15.2,24.7,10.6,20.5,32.1,43.8,4
Slough UA,8000,7100,15100,52.7,76.9,24.2,15.9,26.2,16,20.7,32,46.1,4
Somerset,32000,25100,57100,56,83.2,27.1,18.1,25,11,23.2,35,40.5,4
South Gloucestershire UA,17600,10400,28000,63,84.5,21.5,16.5,17.1,11.3,25.2,31.8,41.5,4
Southampton UA,16900,12000,28900,58.4,76.9,18.6,17.3,33.1,9.4,24.2,40.2,49.4,4
Stockport,14900,12900,27800,53.7,82.2,28.5,16,23.6,12.4,23.5,38.4,43.7,4
Surrey,61800,40000,101800,60.7,80.6,19.9,14.3,24.9,10.7,21.2,30.1,37.2,4
Trafford,11900,11200,23100,51.5,82.1,30.6,15.9,22.6,11.1,23,32.7,47.2,4
Wandsworth,10600,11000,21600,49.1,82.7,33.6,9.7,39,11.6,26.4,30.9,63.6,4
Warwickshire,29400,25600,55000,53.5,82.2,28.8,16.3,27.2,12.4,18.4,26.7,43.8,4
West Berkshire UA,6800,4100,10900,62.8,85.5,22.7,11.5,17.5,8.6,19.6,35.2,32.1,4
West Sussex,45700,38000,83700,54.6,83.6,29,17.1,23.3,9,22.7,32.3,41.8,4
Wiltshire UA,26500,20500,47000,56.4,83.8,27.5,16.5,31.4,7.7,25.2,34.8,36.6,4
Windsor and Maidenhead UA,6300,3200,9500,67,81.4,14.4,10.6,20.9,4,15.1,27.3,37.6,4
Wokingham UA,6500,4500,11000,58.5,81.4,22.9,11.2,16.4,8.3,21,25.9,44.7,4
Worcestershire,30100,25700,55800,54,80.7,26.8,16,29.6,15.3,19.9,36.4,40.8,4
York UA,12400,8900,21300,58,78.5,20.5,15.9,22.1,7.3,20.2,35.2,45,4
Northern Ireland,74200,154700,228900,32.4,77.3,44.9,19.7,28.4,28.4,16.9,36.7,50.6,2
